loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Body Care,101813287,Veet Nikhar Cream 30g Box,61.91,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Housekeeping,Room Care,101194907,More Essentials Freshner Blocks 75 gm X 4 Multi Pk,50.05,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Housekeeping
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Oral Care,Dental Accessory,100112877,Pepsodent Mint Mouthwash 150 ml,40.908,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Oral Care
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Face Care,101170442,LakmeLakme 9to5 Creamy Honey CC Cream 9 gm Box,71.3716,,,0,121,,ACTIVE,NRTV,6,6,428.2296,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Housekeeping,Pooja Needs,100110586,Prarthana Samai Wat White 250 Wicks Pouch,17.86,9,9,0,121,,ACTIVE,NRTV,16,16,285.76,2023-03-13,Housekeeping
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Beverages,Fruit Juice & Drink,Nectar,100270494,38241 BNATURAL NCT LITCHI LUSCIOUS 180ML,13.8839,3,3,0,121,,ACTIVE,NRTV,-1,-1,-13.8839,2023-03-13,Fruit Juice & Drink
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Laundry,In-Wash,100012025,Surf Excel Quick Wash Detergent Powder 500 Gm Pouch.,88.6441,35,35,0,121,,ACTIVE,NRTV,7,7,620.5087,2023-03-13,Laundry
SM Vijayawada NBS Ongole,Vijayawada,Apparels,Fashion Accessories,Womens,Socks,100000404,Ladies Winter Socks,60,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Womens
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Fruit,Seasonal,100074967,JAMUN KG,80,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Fruit
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Personal Wash,Shower and Bath,100670696,Palmolive Morning Tonic Shower Gel 750 Ml Bottle,354.882,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Personal Wash
